Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Sneaking,not openly expressed or acknowledged,characteristic of a sneak,"mean, contemptible",Oops! So Empty!,Oops! So Empty!,"furtive, shady, shifty, slippery, sly, sneaky, stealthy","furtive, shady, shifty, slippery, sly, sneaky, stealthy",Oops! So Empty!,third
Snug,to secure by fastening or lashing down,to cause to fit closely,to make snug,hide sense 1,manifesting seaworthiness,"curl up, nestle, snuggle","disheveled 
 (or dishevelled), disordered, disorderly, messy, mussed, mussy, sloven, slovenly, unkempt, untidy","comfortable, cozy, snug, easy, restful mean enjoying or providing a position of contentment and security

comfortable applies to anything that encourages serenity, well-being, or complacency as well as physical ease
started feeling comfortable in our new surroundings

cozy suggests warmth, shelter, assured ease, and friendliness
a cozy neighborhood coffee shop

snug suggests having just enough space for comfort and safety but no more
a snug little cottage

easy implies relief from or absence of anything likely to cause discomfort or constraint
living in easy circumstances

restful applies to whatever induces or contributes to rest or relaxation
a quiet restful vacation",third
Sober,marked by sedate or gravely or earnestly thoughtful character or demeanor,"marked by temperance, moderation, or seriousness",subdued in tone or color,not intoxicated,"unhurried, calm","clearheaded, straight","blasted 
[slang], blind, blitzed 
[slang], blotto 
[slang], bombed, boozy, canned 
[slang], cockeyed, crocked, drunk, drunken, fried, gassed, hammered 
[slang], high, inebriate, inebriated, intoxicated, juiced 
[slang], lit, lit up, loaded 
[slang], looped, oiled 
[slang], pickled, pie-eyed, plastered, potted 
[slang], ripped 
[slang], sloshed 
[slang], smashed 
[slang], sottish, soused, sozzled, squiffed 
 (or squiffy), stewed, stiff, stinking 
[slang], stoned, tanked 
[slang], tight, tipsy, wasted 
[slang], wiped out 
[slang]","serious, grave, solemn, sedate, staid, sober, earnest mean not light or frivolous

serious implies a concern for what really matters
a serious play about social injustice

grave implies both seriousness and dignity in expression or attitude
read the proclamation in a grave voice

solemn suggests an impressive gravity utterly free from levity
a sad and solemn occasion

sedate implies a composed and decorous seriousness
remained sedate amid the commotion

staid suggests a settled, accustomed sedateness and prim self-restraint
a quiet and staid community

sober stresses seriousness of purpose and absence of levity or frivolity
a sober look at the state of our schools

earnest suggests sincerity or often zealousness of purpose
an earnest reformer",first
Sojourn,a temporary stay,to stay as a temporary resident,a temporary stay,to stay as a temporary resident,Oops! So Empty!,"stay, tarry, visit","crash 
[slang], stay, tarry, visit",Oops! So Empty!,first
Solemn,marked by the observance of established form or ceremony,"very serious or formal in manner, behavior, or expression",marked by the invocation of a religious sanction,done or made seriously and thoughtfully,awe-inspiring,"august, dignified, distingué, distinguished, imposing, portly, staid, stately","flighty, frivolous, giddy, goofy, silly, undignified","serious, grave, solemn, sedate, staid, sober, earnest mean not light or frivolous

serious implies a concern for what really matters
a serious play about social injustice

grave implies both seriousness and dignity in expression or attitude
read the proclamation in a grave voice

solemn suggests an impressive gravity utterly free from levity
a sad and solemn occasion

sedate implies a composed and decorous seriousness
remained sedate amid the commotion

staid suggests a settled, accustomed sedateness and prim self-restraint
a quiet and staid community

sober stresses seriousness of purpose and absence of levity or frivolity
a sober look at the state of our schools

earnest suggests sincerity or often zealousness of purpose
an earnest reformer",third
Solitary,occurring singly and not as part of a group or cluster,"being, living, or going alone or without companions","taken, passed, or performed without companions",being at once single and isolated,"unfrequented, desolate","alone, lone, one, one-off, only, singular, sole, special, sui generis, unique","anchorite, eremite, hermit, isolate, recluse","alone, solitary, lonely, lonesome, lone, forlorn, desolate mean isolated from others

alone stresses the objective fact of being by oneself with slighter notion of emotional involvement than most of the remaining terms
everyone needs to be alone sometimes

solitary may indicate isolation as a chosen course
glorying in the calm of her solitary life

but more often it suggests sadness and a sense of loss
left solitary by the death of his wife

lonely adds to solitary a suggestion of longing for companionship
felt lonely and forsaken

lonesome heightens the suggestion of sadness and poignancy
an only child often leads a lonesome life

lone may replace lonely or lonesome but typically is as objective as alone
a lone robin pecking at the lawn

forlorn stresses dejection, woe, and listlessness at separation from one held dear
a forlorn lost child

desolate implies inconsolable grief at loss or bereavement
desolate after her brother's death",first
Sombre,so shaded as to be dark and gloomy,of a serious mien,of a dull or heavy cast or shade,very sad or serious,being dark and gloomy,"black, caliginous, dark, darkened, darkish, darkling, darksome, dim, dimmed, dusk, dusky, gloomy, lightless, murky, obscure, obscured, pitch-black, pitch-dark, pitchy, rayless, stygian, tenebrific, tenebrous, unlit","bright, brightened, brilliant, illuminated, illumined, light, lit 
 (or lighted), lightsome, lucent, lucid, luminous",Oops! So Empty!,second
Spacious,vast or ample in extent,large or magnificent in scale,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"ample, capacious, commodious, roomy","ample, capacious, commodious, roomy","spacious, commodious, capacious, ample mean larger in extent or capacity than the average

spacious implies great length and breadth
a spacious front lawn

commodious stresses roominess and comfortableness
a commodious and airy penthouse apartment

capacious stresses the ability to hold, contain, or retain more than the average
a capacious suitcase

ample implies having a greater size, expanse, or amount than that deemed adequate
ample closet space",first
Specking,a small discoloration or spot especially from stain or decay,a very small amount,something marked or marred with specks,a small spot or blemish,a very small amount,"blotch, dapple, dot, eyespot, fleck, mottle, patch, pip, point, speckle, splotch, spot","blotch, dapple, dot, fleck, freckle, marble, mottle, pepper, shoot, speckle, splotch, spot, sprinkle, stipple",Oops! So Empty!,second
Spectated,to be present as a spectator (as at a sports event),to watch something (such as a sports event),Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Spirit,an animating or vital principle held to give life to physical organisms,a supernatural being or essence,temper or disposition of mind or outlook especially when vigorous or animated,the immaterial intelligent or sentient part of a person,the activating or essential principle influencing a person,"psyche, soul","psyche, soul","courage, mettle, spirit, resolution, tenacity mean mental or moral strength to resist opposition, danger, or hardship

courage implies firmness of mind and will in the face of danger or extreme difficulty
the courage to support unpopular causes

mettle suggests an ingrained capacity for meeting strain or difficulty with fortitude and resilience
a challenge that will test your mettle

spirit also suggests a quality of temperament enabling one to hold one's own or keep up one's morale when opposed or threatened
her spirit was unbroken by failure

resolution stresses firm determination to achieve one's ends
the resolution of pioneer women

tenacity adds to resolution implications of stubborn persistence and unwillingness to admit defeat
held to their beliefs with great tenacity",third
Spite,"petty ill will or hatred with the disposition to irritate, annoy, or thwart",to treat maliciously (as by shaming or thwarting),an instance of spite,"annoy, offend",Oops! So Empty!,"cattiness, despite, hatefulness, malevolence, malice, maliciousness, malignance, malignancy, malignity, meanness, nastiness, spitefulness, spleen, venom, viciousness","aggravate, annoy, bother, bug, burn (up), chafe, eat, exasperate, frost, gall, get, grate, gripe, hack (off), irk, irritate, itch, nark 
[British], nettle, peeve, persecute, pique, put out, rasp, rile, ruffle, vex","malice, malevolence, ill will, spite, malignity, spleen, grudge mean the desire to see another experience pain, injury, or distress

malice implies a deep-seated often unexplainable desire to see another suffer
felt no malice toward their former enemies

malevolence suggests a bitter persistent hatred that is likely to be expressed in malicious conduct
a look of dark malevolence

ill will implies a feeling of antipathy of limited duration
ill will provoked by a careless remark

spite implies petty feelings of envy and resentment that are often expressed in small harassments
petty insults inspired by spite

malignity implies deep passion and relentlessness
a life consumed by motiveless malignity

spleen suggests the wrathful release of latent spite or persistent malice
venting his spleen against politicians

grudge implies a harbored feeling of resentment or ill will that seeks satisfaction
never one to harbor a grudge",third
Splendid,"impressive in beauty, excellence, or magnificence",possessing or displaying splendor,having or showing splendor,"illustrious, grand",excellent,"august, baronial, epic, gallant, glorious, grand, grandiose, heroic 
 (also heroical), Homeric, imperial, imposing, magnific, magnificent, majestic, massive, monumental, noble, proud, regal, royal, stately","humble, unheroic, unimposing, unimpressive","splendid, resplendent, gorgeous, glorious, sublime, superb mean extraordinarily or transcendently impressive

splendid implies outshining the usual or customary
the wedding was a splendid occasion

resplendent suggests a glowing or blazing splendor
resplendent in her jewelry

gorgeous implies a rich splendor especially in display of color
a gorgeous red dress

glorious suggests radiance that heightens beauty or distinction
a glorious sunset

sublime implies an exaltation or elevation almost beyond human comprehension
a vision of sublime beauty

superb suggests an excellence reaching the highest conceivable degree
her singing was superb",first
Sporadic,"occurring occasionally, singly, or in scattered instances",arising or occurring randomly with no known cause,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aperiodic, casual, catchy, choppy, discontinuous, episodic 
 (also episodical), erratic, fitful, intermittent, irregular, occasional, spasmodic, spastic, spotty, unsteady","constant, continuous, habitual, periodic, regular, repeated, steady","infrequent, uncommon, scarce, rare, sporadic mean not common or abundant

infrequent implies occurrence at wide intervals in space or time
infrequent family visits

uncommon suggests a frequency below normal expectation
smallpox is now uncommon in many countries

scarce implies falling short of a standard or required abundance
jobs were scarce during the Depression

rare suggests extreme scarcity or infrequency and often implies consequent high value
rare first editions

sporadic implies occurrence in scattered instances or isolated outbursts
sporadic cases of influenza",first
Sporadically,in a sporadic manner,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Spurned,to reject with disdain or contempt,to tread sharply or heavily upon,to reject something disdainfully,kick sense 1a,disdainful rejection,"balk (at), decline, deselect, disapprove, negative, nix, pass, pass up, refuse, reject, reprobate, repudiate, throw out, throw over, turn down","accept, agree (to), approve","decline, refuse, reject, repudiate, spurn mean to turn away by not accepting, receiving, or considering

decline often implies courteous refusal especially of offers or invitations
declined his party's nomination

refuse suggests more positiveness or ungraciousness and often implies the denial of something asked for
refused to lend them the money

reject implies a peremptory refusal by sending away or discarding
rejected the manuscript as unpublishable

repudiate implies a casting off or disowning as untrue, unauthorized, or unworthy of acceptance
teenagers who repudiate the values of their parents

spurn stresses contempt or disdain in rejection or repudiation
spurned his overtures of friendship",first
Spurt,a short period of time,"a sudden brief burst of effort, activity, or development",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Sputtered,to spit or squirt from the mouth with explosive sounds,to utter hastily or explosively in confusion or excitement,to dislodge (atoms) from the surface of a material by collision with high energy particles,to spit or squirt particles of food or saliva noisily from the mouth,to speak explosively or confusedly in anger or excitement,"babble, bumble, chat, chatter, drivel, drool, gabble, gibber, jabber, prattle","babble, bumble, chat, chatter, drivel, drool, gabble, gibber, jabber, prattle",Oops! So Empty!,third
Stateliest,marked by lofty or imposing dignity,impressive in size or proportions,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"august, dignified, distingué, distinguished, imposing, portly, solemn, staid","flighty, frivolous, giddy, goofy, silly, undignified","grand, magnificent, imposing, stately, majestic, grandiose mean large and impressive

grand adds to greatness of size the implications of handsomeness and dignity
a grand staircase

magnificent implies an impressive largeness proportionate to scale without sacrifice of dignity or good taste
magnificent paintings

imposing implies great size and dignity but especially stresses impressiveness
an imposing edifice

stately may suggest poised dignity, erectness of bearing, handsomeness of proportions, ceremonious deliberation of movement
the stately procession

majestic combines the implications of imposing and stately and usually adds a suggestion of solemn grandeur
a majestic waterfall

grandiose implies a size or scope exceeding ordinary experience
grandiose hydroelectric projects

but is most commonly applied derogatorily to inflated pretension or absurd exaggeration
grandiose schemes",second
Stem,the main trunk of a plant,the main upright member at the bow of a ship,a line of ancestry,the part of an inflected word that remains after the inflected part is removed,something held to resemble a plant stem,Oops! So Empty!,Oops! So Empty!,"spring, arise, rise, originate, derive, flow, issue, emanate, proceed, stem mean to come up or out of something into existence

spring implies rapid or sudden emerging
an idea that springs to mind

arise and rise may both convey the fact of coming into existence or notice but rise often stresses gradual growth or ascent
new questions have arisen

slowly rose to prominence
originate implies a definite source or starting point

the fire originated in the basement
derive implies a prior existence in another form

the holiday derives from an ancient Roman feast
flow adds to spring a suggestion of abundance or ease of inception

words flowed easily from her pen
issue suggests emerging from confinement through an outlet

blood issued from the cut
emanate applies to the coming of something immaterial (such as a thought) from a source

reports emanating from the capital
proceed stresses place of origin, derivation, parentage, or logical cause

advice that proceeds from the best of intentions
stem implies originating by dividing or branching off from something as an outgrowth or subordinate development

industries stemming from space research",third
Sterile,failing to bear or incapable of producing fruit or spores,unproductive of vegetation,"not able to produce fruit, crops, or offspring",free from living germs,failing to produce or incapable of producing offspring,"barren, fruitless, impotent, infertile, unfruitful","fat, fertile, fruitful",Oops! So Empty!,first
Stifle,to cause or have difficulty in breathing,to withhold from circulation or expression,to keep in check by effort,muffle,Oops! So Empty!,"choke, smother, strangle, suffocate","choke, smother, strangle, suffocate",Oops! So Empty!,third
Stimulus,something that stirs or urges to action,an influence that acts usually from outside the body to partly change bodily activity (as by exciting a receptor or sense organ),stimulant sense 1,an agent (as an environmental change) that directly influences the activity of living protoplasm (as by exciting a sensory organ or evoking muscular contraction or glandular secretion),Oops! So Empty!,"boost, encouragement, goad, impetus, impulse, incentive, incitation, incitement, instigation, momentum, motivation, provocation, spur, stimulant, yeast","counterincentive, disincentive",Oops! So Empty!,second
Stir,to disturb the relative position of the particles or parts of especially by a continued circular movement,to cause an especially slight movement or change of position of,to bring into notice or debate,to rouse to activity,"bestir, exert","agitate, churn, swirl, wash, whirl","agitate, churn, swirl, wash, whirl",Oops! So Empty!,third
Stout,"a very dark, full-bodied ale with a distinctive malty flavor that is typically brewed with unmalted roasted barley",physically or materially strong,strong of character,bulky in body,forceful,"cast-iron, hard, hard-bitten, hardened, hardy, inured, rugged, strong, sturdy, tough, toughened, vigorous","delicate, nonhardy, soft, tender, weak","strong, stout, sturdy, stalwart, tough, tenacious mean showing power to resist or to endure

strong may imply power derived from muscular vigor, large size, structural soundness, intellectual or spiritual resources
strong arms

the defense has a strong case
stout suggests an ability to endure stress, pain, or hard use without giving way

stout hiking boots
sturdy implies strength derived from vigorous growth, determination of spirit, solidity of construction

a sturdy table
people of sturdy independence

stalwart suggests an unshakable dependability
stalwart environmentalists

tough implies great firmness and resiliency
a tough political opponent

tenacious suggests strength in seizing, retaining, clinging to, or holding together
tenacious farmers clinging to an age-old way of life",first
Streak,a line or mark of a different color or texture from the ground,the color of the fine powder of a mineral obtained by scratching or rubbing against a hard white surface and constituting an important distinguishing character,a narrow band of light,a slight admixture,a narrow layer (as of fat),"band, bar, stripe","band, bar, stripe",Oops! So Empty!,third
Strewn,to spread by scattering,to cover by or as if by scattering something,to become dispersed over as if scattered,to spread abroad,scatter sense 1,"bestrew, dot, pepper, scatter, sow, spot, spray, sprinkle","bestrew, dot, pepper, scatter, sow, spot, spray, sprinkle",Oops! So Empty!,second
Stripped,"to remove clothing, covering, or surface matter from",to remove extraneous or superficial matter from,to make bare or clear (as by cutting or grazing),to finish a milking of by pressing the last available milk from the teats,to remove cured leaves from the stalks of (tobacco),"disrobe, unclothe, undress","dress, gown, robe",Oops! So Empty!,first
Subjoined,"annex, append",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"add, adjoin, annex, append, tack (on)","abate, bate, deduct, knock off, remove, subtract, take off",Oops! So Empty!,third
Sublime,to cause to pass directly from the solid to the vapor state and condense back to solid form,"lofty, grand, or exalted in thought, expression, or manner",high in place,"grand or noble in thought, expression, or manner",beautiful or impressive enough to arouse a feeling of admiration and wonder,"amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous 
 (or marvellous), miraculous, portentous, prodigious, staggering, stunning, stupendous, surprising, wonderful, wondrous","amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous 
 (or marvellous), miraculous, portentous, prodigious, staggering, stunning, stupendous, surprising, wonderful, wondrous","splendid, resplendent, gorgeous, glorious, sublime, superb mean extraordinarily or transcendently impressive

splendid implies outshining the usual or customary
the wedding was a splendid occasion

resplendent suggests a glowing or blazing splendor
resplendent in her jewelry

gorgeous implies a rich splendor especially in display of color
a gorgeous red dress

glorious suggests radiance that heightens beauty or distinction
a glorious sunset

sublime implies an exaltation or elevation almost beyond human comprehension
a vision of sublime beauty

superb suggests an excellence reaching the highest conceivable degree
her singing was superb",first
Subsiding,to sink or fall to the bottom,to tend downward,to let oneself settle down,to become quiet or less,to become less strong or intense,"abate, de-escalate, decline, decrease, die (away or down or out), diminish, drain (away), drop (off), dwindle, ease, ebb, fall, fall away, lessen, let up, lower, moderate, pall, phase down, ratchet (down) 
 also rachet (down), recede, relent, remit, shrink, taper, taper off, wane","accumulate, balloon, build, burgeon 
 (also bourgeon), enlarge, escalate, expand, grow, increase, intensify, mount, mushroom, pick up, rise, snowball, soar, swell, wax","abate, subside, wane, ebb mean to die down in force or intensity

abate stresses the idea of progressive diminishing
the storm abated

subside implies the ceasing of turbulence or agitation
the protests subsided after a few days

wane suggests the fading or weakening of something good or impressive
waning enthusiasm

ebb suggests the receding of something (such as the tide) that commonly comes and goes
the ebbing of daylight",first
Subterfuge,"deception by artifice or stratagem in order to conceal, escape, or evade",a deceptive device or stratagem,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"artifice, chicane, chicanery, gamesmanship, hanky-panky, jiggery-pokery, jugglery, legerdemain, skulduggery 
 (or skullduggery), trickery, wile","artifice, chicane, chicanery, gamesmanship, hanky-panky, jiggery-pokery, jugglery, legerdemain, skulduggery 
 (or skullduggery), trickery, wile","deception, fraud, double-dealing, subterfuge, trickery mean the acts or practices of one who deliberately deceives

deception may or may not imply blameworthiness, since it may suggest cheating or merely tactical resource
magicians are masters of deception

fraud always implies guilt and often criminality in act or practice
indicted for fraud

double-dealing suggests treachery or at least action contrary to a professed attitude
a go-between suspected of double-dealing

subterfuge suggests the adoption of a stratagem or the telling of a lie in order to escape guilt or to gain an end
obtained the papers by subterfuge

trickery implies ingenious acts intended to dupe or cheat
resorted to trickery to gain their ends",first
Suffocated,to stop the respiration of (as by strangling or asphyxiation),to impede or stop the development of,to become suffocated,to become checked in development,to kill by stopping the breathing of or by depriving of oxygen to breathe,"choke, smother, stifle, strangle","choke, smother, stifle, strangle",Oops! So Empty!,first
Sullen,dull or somber in sound or color,gloomily or resentfully silent or repressed,"dismal, gloomy",moving sluggishly,not sociable,"black, bleak, cheerless, chill, Cimmerian, cloudy, cold, comfortless, dark, darkening, depressing, depressive, desolate, dire, disconsolate, dismal, drear, dreary, dreich 
[chiefly Scottish], elegiac 
 (also elegiacal), forlorn, funereal, gloomy, glum, godforsaken, gray 
 (also grey), lonely, lonesome, lugubrious, miserable, morbid, morose, murky, plutonian, saturnine, sepulchral, solemn, somber 
 (or sombre), sunless, tenebrific, tenebrous, wretched","bright, cheerful, cheering, cheery, comforting, cordial, festive, friendly, gay, heartwarming, sunshiny","sullen, glum, morose, surly, sulky, crabbed, saturnine, gloomy mean showing a forbidding or disagreeable mood

sullen implies a silent ill humor and a refusal to be sociable
remained sullen amid the festivities

glum suggests a silent dispiritedness
a glum candidate left to ponder a stunning defeat

morose adds to glum an element of bitterness or misanthropy
morose job seekers who are inured to rejection

surly implies gruffness and sullenness of speech or manner
a typical surly teenager

sulky suggests childish resentment expressed in peevish sullenness
grew sulky after every spat

crabbed applies to a forbidding morose harshness of manner
the school's notoriously crabbed headmaster

saturnine describes a heavy forbidding aspect or suggests a bitter disposition
a saturnine cynic always finding fault

gloomy implies a depression in mood making for seeming sullenness or glumness
a gloomy mood ushered in by bad news",first
Sumptuous,"extremely costly, rich, luxurious, or magnificent","very expensive, rich, or impressive",very expensive or luxurious,Oops! So Empty!,Oops! So Empty!,"Babylonian, deluxe, lavish, Lucullan 
 (also Lucullian), luxe, luxuriant, luxurious, luxury, opulent, palace, palatial, plush, plushy, silken","ascetic 
 (also ascetical), austere, humble, no-frills, spartan",Oops! So Empty!,third
Supple,compliant often to the point of obsequiousness,"capable of being bent or folded without creases, cracks, or breaks",to make pacific or complaisant,to alleviate with a salve,to make flexible or pliant,"bendy 
[chiefly British], flexible, limber, lissome 
 (also lissom), lithe, lithesome, pliable, pliant, willowy","inflexible, rigid, stiff, stiffened","elastic, resilient, springy, flexible, supple mean able to endure strain without being permanently injured

elastic implies the property of resisting deformation by stretching
an elastic waistband

resilient implies the ability to recover shape quickly when the deforming force or pressure is removed
a resilient innersole

springy stresses both the ease with which something yields to pressure and the quickness of its return to original shape
the cake is done when the top is springy

flexible applies to something which may or may not be resilient or elastic but which can be bent or folded without breaking
flexible plastic tubing

supple applies to something that can be readily bent, twisted, or folded without any sign of injury
supple leather",first
Surge,to rise and fall actively,to rise and move in waves or billows,"to slip around a windlass, capstan, or bitts",to rise suddenly to an excessive or abnormal value,to move with a surge or in surges,"billow, swell, wave","billow, swell, wave",Oops! So Empty!,third
Swaggers,to conduct oneself in an arrogant or superciliously pompous manner,an arrogantly self-confident way of walking,bold or brash self-confidence,"boast, brag",Oops! So Empty!,"blow, boast, brag, bull 
[slang], crow, gasconade, vapor, vaunt","blow, boast, brag, bull 
[slang], crow, gasconade, vapor, vaunt",Oops! So Empty!,third
Swift,moving or capable of moving with great speed,occurring suddenly or within a very short time,quick to respond,any of several lizards (especially of the genus Sceloporus) that run swiftly,a reel for winding yarn or thread,"blistering, breakneck, breathless, brisk, dizzy, fast, fleet, fleet-footed, flying, galloping, hasty, hot, lightning, nippy, quick, rapid, rapid-fire, rattling, snappy, speedy, splitting, whirlwind, zippy","slow, slowly","fast, rapid, swift, fleet, quick, speedy, hasty, expeditious mean moving, proceeding, or acting with celerity

fast and rapid are very close in meaning, but fast applies particularly to the thing that moves
fast horses

and rapid to the movement itself
rapid current

swift suggests great rapidity coupled with ease of movement
returned the ball with one swift stroke

fleet adds the implication of lightness and nimbleness
fleet runners

quick suggests promptness and the taking of little time
a quick wit

speedy implies quickness of successful accomplishment
speedy delivery of mail

and may also suggest unusual velocity
hasty suggests hurry and precipitousness and often connotes carelessness

a hasty inspection
expeditious suggests efficiency together with rapidity of accomplishment

the expeditious handling of an order",first
Synagogues,a Jewish congregation,the house of worship and communal center of a Jewish congregation,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,fourth
Tabernacle,a house of worship,a receptacle for the consecrated elements of the Eucharist,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"church, kirk 
[chiefly Scottish], temple","church, kirk 
[chiefly Scottish], temple",Oops! So Empty!,second
Tantrum,a fit of bad temper,an uncontrolled expression of childish anger,an outburst of bad temper,a fit of bad temper,Oops! So Empty!,"blowup, explosion, fireworks, fit, hissy 
[chiefly Southern & southern Midland], hissy fit, huff, scene","blowup, explosion, fireworks, fit, hissy 
[chiefly Southern & southern Midland], hissy fit, huff, scene",Oops! So Empty!,first
Tantrums,a fit of bad temper,an uncontrolled expression of childish anger,an outburst of bad temper,a fit of bad temper,Oops! So Empty!,"blowup, explosion, fireworks, fit, hissy 
[chiefly Southern & southern Midland], hissy fit, huff, scene","blowup, explosion, fireworks, fit, hissy 
[chiefly Southern & southern Midland], hissy fit, huff, scene",Oops! So Empty!,third
Tarot,any of a set of usually 78 playing cards including 22 pictorial cards used for fortune-telling,a set of 78 cards with pictures and symbols that is used to see what will happen in the future,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Tart,agreeably sharp or acid to the taste,"marked by a biting, acrimonious, or cutting quality",a dish baked in a pastry shell,pleasantly sharp or sour to the taste,having an unkind quality,"acid, acidic, acidulous, sour, sourish, tartish, vinegary","bawd, call girl, cocotte, courtesan, drab, hooker, hustler, prostitute, sex worker, streetwalker, whore",Oops! So Empty!,second
Temperament,characteristic or habitual inclination or mode of emotional response,the act or process of tempering or modifying,the slight modification of acoustically pure intervals in tuning a musical instrument,the peculiar or distinguishing mental or physical character determined by the relative proportions of the humors according to medieval physiology,characteristic or habitual inclination or mode of emotional response,"disposition, grain, nature, temper","disposition, grain, nature, temper","disposition, temperament, temper, character, personality mean the dominant quality or qualities distinguishing a person or group

disposition implies customary moods and attitude toward the life around one
a cheerful disposition

temperament implies a pattern of innate characteristics associated with one's specific physical and nervous organization
an artistic temperament

temper implies the qualities acquired through experience that determine how a person or group meets difficulties or handles situations
a resilient temper

character applies to the aggregate of moral qualities by which a person is judged apart from intelligence, competence, or special talents
strength of character

personality applies to an aggregate of qualities that distinguish one as a person
a somber personality",third
Tenderly,"marked by, responding to, or expressing the softer emotions",sensitive to touch or palpation,showing care,easily chewed,physically weak,"delicate, fragile, frail, sensitive",tough,Oops! So Empty!,first
Tenuous,having little substance or strength,not thick,not dense,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"thin, slender, slim, slight, tenuous mean not thick, broad, abundant, or dense

thin implies comparatively little extension between surfaces or in diameter, or it may imply lack of substance, richness, or abundance
thin wire

a thin soup
slender implies leanness or spareness often with grace and good proportion

the slender legs of a Sheraton chair
slim applies to slenderness that suggests fragility or scantiness

a slim volume of poetry
a slim chance

slight implies smallness as well as thinness
a slight build

tenuous implies extreme thinness, sheerness, or lack of substance and firmness
a tenuous thread",first
Thaumaturge,thaumaturgist,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Thrall,a state of servitude or submission,an enslaved person who performs the duties of a servant,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bondman 
 (also bondsman), chattel, slave",freeman,Oops! So Empty!,third
Thwarted,to oppose successfully,to pass through or across,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baffle, balk, beat, checkmate, discomfit, foil, frustrate","advance, cultivate, encourage, forward, foster, further, nurture, promote","frustrate, thwart, foil, baffle, balk mean to check or defeat another's plan or block achievement of a goal

frustrate implies making vain or ineffectual all efforts however vigorous or persistent
frustrated attempts at government reform

thwart suggests frustration or checking by crossing or opposing
the army thwarted his attempt at a coup

foil implies checking or defeating so as to discourage further effort
foiled by her parents, he stopped trying to see her

baffle implies frustration by confusing or puzzling
baffled by the maze of rules and regulations

balk suggests the interposing of obstacles or hindrances
officials felt that legal restrictions had balked their efforts to control crime",second
Tidying,a usually compartmentalized receptacle for various small objects,neat and orderly in appearance or habits,properly filled out,"large, substantial",adequately satisfactory,"antiseptic, bandbox, crisp, groomed, kempt, neat, orderly, picked up, prim, shipshape, smug, snug, tidied, trig, trim, uncluttered, well-groomed","disheveled 
 (or dishevelled), disordered, disorderly, messy, mussed, mussy, sloven, slovenly, unkempt, untidy",Oops! So Empty!,third
Tirade,"a protracted speech usually marked by intemperate, vituperative, or harshly censorious language",a long and angry speech,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"diatribe, harangue, jeremiad, philippic, rant","diatribe, harangue, jeremiad, philippic, rant",Oops! So Empty!,third
Tiresome,"causing boredom, annoyance, or impatience because of length or dullness","causing you to feel bored, annoyed, or impatient","wearisome, tedious",Oops! So Empty!,Oops! So Empty!,"arid, boring, colorless, drab, dreary, drudging, dry, dull, dusty, flat, heavy, ho-hum, humdrum, jading, jejune, leaden, mind-numbing, monochromatic, monotonous, numbing, old, pedestrian, ponderous, slow, stale, stodgy, stuffy, stupid, tame, tedious, tiring, uninteresting, wearisome, weary, wearying","absorbing, engaging, engrossing, gripping, interesting, intriguing, involving, riveting",Oops! So Empty!,third
Titter,"to laugh in a nervous, affected, or partly suppressed manner",a quiet or nervous laugh,to laugh in a quiet and nervous way,to laugh in a quiet and nervous way,a nervous laugh,"break up, cackle, chortle, chuckle, crack up, giggle, hee-haw, laugh, roar, scream, snicker, twitter","break up, cackle, chortle, chuckle, crack up, giggle, hee-haw, laugh, roar, scream, snicker, twitter",Oops! So Empty!,third
Tottered,to move unsteadily,to tremble or rock as if about to fall,to sway or rock as if about to fall,to move unsteadily,Oops! So Empty!,"careen, dodder, lurch, reel, stagger, teeter, waddle","careen, dodder, lurch, reel, stagger, teeter, waddle",Oops! So Empty!,third
