,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
221,Revulsion,a strong pulling or drawing away,a sudden or strong reaction or change,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aversion, disgust, distaste, horror, loathing, nausea, repugnance, repulsion","aversion, disgust, distaste, horror, loathing, nausea, repugnance, repulsion",Oops! So Empty!,first,Oops! So Empty!
222,Riposte,a fencer's quick return thrust following a parry,a retaliatory verbal sally,a retaliatory maneuver or measure,Oops! So Empty!,Oops! So Empty!,"comeback, repartee, retort","comeback, repartee, retort",Oops! So Empty!,first,Oops! So Empty!
223,Robust,"relating to, resembling, or being a specialized group of australopithecines characterized especially by heavy molars and small incisors adapted to a vegetarian diet",having or exhibiting strength or vigorous health,requiring strength or vigor,"rough, rude",full-bodied,"able-bodied, bouncing, fit, hale, healthy, hearty, sound, well, well-conditioned, whole, wholesome","ailing, diseased, ill, sick, unfit, unhealthy, unsound, unwell","healthy, sound, wholesome, robust, hale, well mean enjoying or indicative of good health

healthy implies full strength and vigor as well as freedom from signs of disease
a healthy family

sound emphasizes the absence of disease, weakness, or malfunction
a sound heart

wholesome implies appearance and behavior indicating soundness and balance
a face with a wholesome glow

robust implies the opposite of all that is delicate or sickly
a lively, robust little boy

hale applies particularly to robustness in old age
still hale at the age of eighty

well implies merely freedom from disease or illness
she has never been a well person",third,"healthy, sound, wholesome, robust, hale, well mean enjoying or indicative of good health<br><br>healthy implies full strength and vigor as well as freedom from signs of disease<br>a healthy family<br><br>sound emphasizes the absence of disease, weakness, or malfunction<br>a sound heart<br><br>wholesome implies appearance and behavior indicating soundness and balance<br>a face with a wholesome glow<br><br>robust implies the opposite of all that is delicate or sickly<br>a lively, robust little boy<br><br>hale applies particularly to robustness in old age<br>still hale at the age of eighty<br><br>well implies merely freedom from disease or illness<br>she has never been a well person"
224,Rudimentary,very imperfectly developed or represented only by a vestige,consisting in first principles,of a primitive kind,not fully developed,"elementary, simple","crude, low, primitive, rude","advanced, developed, evolved, high, higher, late",Oops! So Empty!,third,Oops! So Empty!
225,Rudiments,a basic principle or element or a fundamental skill,something unformed or undeveloped,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
226,Rusticate,to suspend from school or college,to build or face with usually rough-surfaced masonry blocks having beveled or rebated edges producing pronounced joints,to compel to reside in the country,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
227,Sacrilege,a technical and not necessarily intrinsically outrageous violation (such as improper reception of a sacrament) of what is sacred because consecrated to God,"gross irreverence toward a hallowed person, place, or thing",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"blasphemy, defilement, desecration, impiety, irreverence, profanation","adoration, glorification, worship",Oops! So Empty!,third,Oops! So Empty!
228,Saucily,served with or having the consistency of sauce,stylish in dress or appearance,impertinently bold and impudent,being rude and disrespectful,"smart, trim","arch, audacious, bold, bold-faced, brash, brassbound, brassy, brazen, brazen-faced, cheeky, cocksure, cocky, fresh, impertinent, impudent, insolent, nervy, sassy, wise","meek, mousy 
 (or mousey), retiring, shy, timid",Oops! So Empty!,third,Oops! So Empty!
229,Scapegoat,a goat upon whose head are symbolically placed the sins of the people after which he is sent into the wilderness in the biblical ceremony for Yom Kippur,one that bears the blame for others,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"fall guy, goat, whipping boy","fall guy, goat, whipping boy",Oops! So Empty!,first,Oops! So Empty!
230,Scourged,a cause of wide or great affliction,an instrument of punishment or criticism,to punish severely,"flog, whip",whip,"flogger, lash, switch, whip","destroy, devastate, ravage, ruin",Oops! So Empty!,third,Oops! So Empty!
231,Sedition,incitement of resistance to or insurrection against lawful authority,"the crime of creating a revolt, disturbance, or violence against lawful civil authority with the intent to cause its overthrow or destruction  — compare criminal syndicalism, sabotage",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
232,Seneschal,an agent or steward in charge of a lord's estate in feudal times,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
233,Shrewd,marked by clever discerning awareness and hardheaded acumen,"severe, hard","abusive, shrewish","ominous, dangerous",mischievous,"astute, canny, clear-eyed, clear-sighted, hard-boiled, hardheaded, heady, knowing, savvy, sharp, sharp-witted, smart",unknowing,"shrewd, sagacious, perspicacious, astute mean acute in perception and sound in judgment

shrewd stresses practical, hardheaded cleverness and judgment
a shrewd judge of character

sagacious suggests wisdom, penetration, and farsightedness
sagacious investors got in on the ground floor

perspicacious implies unusual power to see through and understand what is puzzling or hidden
a perspicacious counselor saw through the child's facade

astute suggests shrewdness, perspicacity, and diplomatic skill
an astute player of party politics",first,"shrewd, sagacious, perspicacious, astute mean acute in perception and sound in judgment<br><br>shrewd stresses practical, hardheaded cleverness and judgment<br>a shrewd judge of character<br><br>sagacious suggests wisdom, penetration, and farsightedness<br>sagacious investors got in on the ground floor<br><br>perspicacious implies unusual power to see through and understand what is puzzling or hidden<br>a perspicacious counselor saw through the child's facade<br><br>astute suggests shrewdness, perspicacity, and diplomatic skill<br>an astute player of party politics"
234,Simpering,marked by insipidity or by affected or ingratiating timidity,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
235,Slanders,the utterance of false charges or misrepresentations which defame and damage another's reputation,a false and defamatory oral statement about a person  — compare libel,defamation of a person by unprivileged oral communication made to a third party,the tort of oral defamation,Oops! So Empty!,"asperse, blacken, calumniate, defame, libel, malign, smear, traduce, vilify","aspersing, blackening, calumniation, calumny, character assassination, defamation, defaming, libel, libeling 
 (or libelling), maligning, smearing, traducing, vilification, vilifying","malign, traduce, asperse, vilify, calumniate, defame, slander mean to injure by speaking ill of

malign suggests specific and often subtle misrepresentation but may not always imply deliberate lying
the most maligned monarch in British history

traduce stresses the resulting ignominy and distress to the victim
so traduced the governor that he was driven from office

asperse implies continued attack on a reputation often by indirect or insinuated detraction
both candidates aspersed the other's motives

vilify implies attempting to destroy a reputation by open and direct abuse
no criminal was more vilified in the press

calumniate imputes malice to the speaker and falsity to the assertions
falsely calumniated as a traitor

defame stresses the actual loss of or injury to one's good name
sued them for defaming her reputation

slander stresses the suffering of the victim
town gossips slandered their good name",first,"malign, traduce, asperse, vilify, calumniate, defame, slander mean to injure by speaking ill of<br><br>malign suggests specific and often subtle misrepresentation but may not always imply deliberate lying<br>the most maligned monarch in British history<br><br>traduce stresses the resulting ignominy and distress to the victim<br>so traduced the governor that he was driven from office<br><br>asperse implies continued attack on a reputation often by indirect or insinuated detraction<br>both candidates aspersed the other's motives<br><br>vilify implies attempting to destroy a reputation by open and direct abuse<br>no criminal was more vilified in the press<br><br>calumniate imputes malice to the speaker and falsity to the assertions<br>falsely calumniated as a traitor<br><br>defame stresses the actual loss of or injury to one's good name<br>sued them for defaming her reputation<br><br>slander stresses the suffering of the victim<br>town gossips slandered their good name"
236,Slime,soft moist earth or clay,"a viscous, glutinous, or gelatinous substance",a morally repulsive or odious person,to smear or cover with slime,"to remove slime from (something, such as fish for canning)","guck 
 (or gook), mire, muck, mud, ooze, slop, sludge, slush","guck 
 (or gook), mire, muck, mud, ooze, slop, sludge, slush",Oops! So Empty!,third,Oops! So Empty!
237,Sly,clever in concealing one's aims or ends,tending to keep secrets and hide intentions,both clever and tricky,mischievous sense 2,lightly mischievous,"artful, beguiling, cagey 
 (also cagy), crafty, cunning, cute, designing, devious, dodgy 
[chiefly British], foxy, guileful, scheming, shrewd, slick, subtle, tricky, wily","artless, guileless, ingenuous, innocent, undesigning","sly, cunning, crafty, wily, tricky, foxy, artful, slick mean attaining or seeking to attain one's ends by guileful or devious means

sly implies furtiveness, lack of candor, and skill in concealing one's aims and methods
a sly corporate raider

cunning suggests the inventive use of sometimes limited intelligence in overreaching or circumventing
the cunning fox avoided the trap

crafty implies cleverness and subtlety of method
a crafty lefthander

wily implies skill and deception in maneuvering
the wily fugitive escaped the posse

tricky is more likely to suggest shiftiness and unreliability than skill in deception and maneuvering
a tricky political operative

foxy implies a shrewd and wary craftiness usually involving devious dealing
a foxy publicity man planting stories

artful implies indirectness in dealing and often connotes sophistication or cleverness
elicited the information by artful questioning

slick emphasizes smoothness and guile
slick operators selling time-sharing",first,"sly, cunning, crafty, wily, tricky, foxy, artful, slick mean attaining or seeking to attain one's ends by guileful or devious means<br><br>sly implies furtiveness, lack of candor, and skill in concealing one's aims and methods<br>a sly corporate raider<br><br>cunning suggests the inventive use of sometimes limited intelligence in overreaching or circumventing<br>the cunning fox avoided the trap<br><br>crafty implies cleverness and subtlety of method<br>a crafty lefthander<br><br>wily implies skill and deception in maneuvering<br>the wily fugitive escaped the posse<br><br>tricky is more likely to suggest shiftiness and unreliability than skill in deception and maneuvering<br>a tricky political operative<br><br>foxy implies a shrewd and wary craftiness usually involving devious dealing<br>a foxy publicity man planting stories<br><br>artful implies indirectness in dealing and often connotes sophistication or cleverness<br>elicited the information by artful questioning<br><br>slick emphasizes smoothness and guile<br>slick operators selling time-sharing"
238,Smarm,smarmy language or behavior,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
239,Smirk,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
240,Smother,to kill by depriving of air,to suppress expression or knowledge of,to overcome or kill with smoke or fumes,to cook in a covered pan or pot with little liquid over low heat,thick stifling smoke or smudge,"choke, stifle, strangle, suffocate","choke, stifle, strangle, suffocate",Oops! So Empty!,first,Oops! So Empty!
241,Smug,trim or smart in dress,"scrupulously clean, neat, or correct",highly self-satisfied,Oops! So Empty!,Oops! So Empty!,"assured, biggety 
 (or biggity) 
[Southern & Midland], bigheaded, complacent, conceited, consequential, egoistic 
 (also egoistical), egotistic 
 (or egotistical), important, overweening, pompous, prideful, proud, self-conceited, self-important, self-opinionated, self-satisfied, stuck-up, swellheaded, vain, vainglorious","egoless, humble, modest, uncomplacent",Oops! So Empty!,first,Oops! So Empty!
242,Snug,to secure by fastening or lashing down,to cause to fit closely,to make snug,hide sense 1,manifesting seaworthiness,"curl up, nestle, snuggle","disheveled 
 (or dishevelled), disordered, disorderly, messy, mussed, mussy, sloven, slovenly, unkempt, untidy","comfortable, cozy, snug, easy, restful mean enjoying or providing a position of contentment and security

comfortable applies to anything that encourages serenity, well-being, or complacency as well as physical ease
started feeling comfortable in our new surroundings

cozy suggests warmth, shelter, assured ease, and friendliness
a cozy neighborhood coffee shop

snug suggests having just enough space for comfort and safety but no more
a snug little cottage

easy implies relief from or absence of anything likely to cause discomfort or constraint
living in easy circumstances

restful applies to whatever induces or contributes to rest or relaxation
a quiet restful vacation",third,"comfortable, cozy, snug, easy, restful mean enjoying or providing a position of contentment and security<br><br>comfortable applies to anything that encourages serenity, well-being, or complacency as well as physical ease<br>started feeling comfortable in our new surroundings<br><br>cozy suggests warmth, shelter, assured ease, and friendliness<br>a cozy neighborhood coffee shop<br><br>snug suggests having just enough space for comfort and safety but no more<br>a snug little cottage<br><br>easy implies relief from or absence of anything likely to cause discomfort or constraint<br>living in easy circumstances<br><br>restful applies to whatever induces or contributes to rest or relaxation<br>a quiet restful vacation"
243,Sober,marked by sedate or gravely or earnestly thoughtful character or demeanor,"marked by temperance, moderation, or seriousness",subdued in tone or color,not intoxicated,"unhurried, calm","clearheaded, straight","blasted 
[slang], blind, blitzed 
[slang], blotto 
[slang], bombed, boozy, canned 
[slang], cockeyed, crocked, drunk, drunken, fried, gassed, hammered 
[slang], high, inebriate, inebriated, intoxicated, juiced 
[slang], lit, lit up, loaded 
[slang], looped, oiled 
[slang], pickled, pie-eyed, plastered, potted 
[slang], ripped 
[slang], sloshed 
[slang], smashed 
[slang], sottish, soused, sozzled, squiffed 
 (or squiffy), stewed, stiff, stinking 
[slang], stoned, tanked 
[slang], tight, tipsy, wasted 
[slang], wiped out 
[slang]","serious, grave, solemn, sedate, staid, sober, earnest mean not light or frivolous

serious implies a concern for what really matters
a serious play about social injustice

grave implies both seriousness and dignity in expression or attitude
read the proclamation in a grave voice

solemn suggests an impressive gravity utterly free from levity
a sad and solemn occasion

sedate implies a composed and decorous seriousness
remained sedate amid the commotion

staid suggests a settled, accustomed sedateness and prim self-restraint
a quiet and staid community

sober stresses seriousness of purpose and absence of levity or frivolity
a sober look at the state of our schools

earnest suggests sincerity or often zealousness of purpose
an earnest reformer",first,"serious, grave, solemn, sedate, staid, sober, earnest mean not light or frivolous<br><br>serious implies a concern for what really matters<br>a serious play about social injustice<br><br>grave implies both seriousness and dignity in expression or attitude<br>read the proclamation in a grave voice<br><br>solemn suggests an impressive gravity utterly free from levity<br>a sad and solemn occasion<br><br>sedate implies a composed and decorous seriousness<br>remained sedate amid the commotion<br><br>staid suggests a settled, accustomed sedateness and prim self-restraint<br>a quiet and staid community<br><br>sober stresses seriousness of purpose and absence of levity or frivolity<br>a sober look at the state of our schools<br><br>earnest suggests sincerity or often zealousness of purpose<br>an earnest reformer"
244,Sojourn,a temporary stay,to stay as a temporary resident,a temporary stay,to stay as a temporary resident,Oops! So Empty!,"stay, tarry, visit","crash 
[slang], stay, tarry, visit",Oops! So Empty!,first,Oops! So Empty!
245,Sporadic,"occurring occasionally, singly, or in scattered instances",arising or occurring randomly with no known cause,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aperiodic, casual, catchy, choppy, discontinuous, episodic 
 (also episodical), erratic, fitful, intermittent, irregular, occasional, spasmodic, spastic, spotty, unsteady","constant, continuous, habitual, periodic, regular, repeated, steady","infrequent, uncommon, scarce, rare, sporadic mean not common or abundant

infrequent implies occurrence at wide intervals in space or time
infrequent family visits

uncommon suggests a frequency below normal expectation
smallpox is now uncommon in many countries

scarce implies falling short of a standard or required abundance
jobs were scarce during the Depression

rare suggests extreme scarcity or infrequency and often implies consequent high value
rare first editions

sporadic implies occurrence in scattered instances or isolated outbursts
sporadic cases of influenza",first,"infrequent, uncommon, scarce, rare, sporadic mean not common or abundant<br><br>infrequent implies occurrence at wide intervals in space or time<br>infrequent family visits<br><br>uncommon suggests a frequency below normal expectation<br>smallpox is now uncommon in many countries<br><br>scarce implies falling short of a standard or required abundance<br>jobs were scarce during the Depression<br><br>rare suggests extreme scarcity or infrequency and often implies consequent high value<br>rare first editions<br><br>sporadic implies occurrence in scattered instances or isolated outbursts<br>sporadic cases of influenza"
246,Spurned,to reject with disdain or contempt,to tread sharply or heavily upon,to reject something disdainfully,kick sense 1a,disdainful rejection,"balk (at), decline, deselect, disapprove, negative, nix, pass, pass up, refuse, reject, reprobate, repudiate, throw out, throw over, turn down","accept, agree (to), approve","decline, refuse, reject, repudiate, spurn mean to turn away by not accepting, receiving, or considering

decline often implies courteous refusal especially of offers or invitations
declined his party's nomination

refuse suggests more positiveness or ungraciousness and often implies the denial of something asked for
refused to lend them the money

reject implies a peremptory refusal by sending away or discarding
rejected the manuscript as unpublishable

repudiate implies a casting off or disowning as untrue, unauthorized, or unworthy of acceptance
teenagers who repudiate the values of their parents

spurn stresses contempt or disdain in rejection or repudiation
spurned his overtures of friendship",first,"decline, refuse, reject, repudiate, spurn mean to turn away by not accepting, receiving, or considering<br><br>decline often implies courteous refusal especially of offers or invitations<br>declined his party's nomination<br><br>refuse suggests more positiveness or ungraciousness and often implies the denial of something asked for<br>refused to lend them the money<br><br>reject implies a peremptory refusal by sending away or discarding<br>rejected the manuscript as unpublishable<br><br>repudiate implies a casting off or disowning as untrue, unauthorized, or unworthy of acceptance<br>teenagers who repudiate the values of their parents<br><br>spurn stresses contempt or disdain in rejection or repudiation<br>spurned his overtures of friendship"
247,Sputtered,to spit or squirt from the mouth with explosive sounds,to utter hastily or explosively in confusion or excitement,to dislodge (atoms) from the surface of a material by collision with high energy particles,to spit or squirt particles of food or saliva noisily from the mouth,to speak explosively or confusedly in anger or excitement,"babble, bumble, chat, chatter, drivel, drool, gabble, gibber, jabber, prattle","babble, bumble, chat, chatter, drivel, drool, gabble, gibber, jabber, prattle",Oops! So Empty!,third,Oops! So Empty!
248,Sterile,failing to bear or incapable of producing fruit or spores,unproductive of vegetation,"not able to produce fruit, crops, or offspring",free from living germs,failing to produce or incapable of producing offspring,"barren, fruitless, impotent, infertile, unfruitful","fat, fertile, fruitful",Oops! So Empty!,first,Oops! So Empty!
249,Sublime,to cause to pass directly from the solid to the vapor state and condense back to solid form,"lofty, grand, or exalted in thought, expression, or manner",high in place,"grand or noble in thought, expression, or manner",beautiful or impressive enough to arouse a feeling of admiration and wonder,"amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous 
 (or marvellous), miraculous, portentous, prodigious, staggering, stunning, stupendous, surprising, wonderful, wondrous","amazing, astonishing, astounding, awesome, awful, eye-opening, fabulous, marvelous 
 (or marvellous), miraculous, portentous, prodigious, staggering, stunning, stupendous, surprising, wonderful, wondrous","splendid, resplendent, gorgeous, glorious, sublime, superb mean extraordinarily or transcendently impressive

splendid implies outshining the usual or customary
the wedding was a splendid occasion

resplendent suggests a glowing or blazing splendor
resplendent in her jewelry

gorgeous implies a rich splendor especially in display of color
a gorgeous red dress

glorious suggests radiance that heightens beauty or distinction
a glorious sunset

sublime implies an exaltation or elevation almost beyond human comprehension
a vision of sublime beauty

superb suggests an excellence reaching the highest conceivable degree
her singing was superb",first,"splendid, resplendent, gorgeous, glorious, sublime, superb mean extraordinarily or transcendently impressive<br><br>splendid implies outshining the usual or customary<br>the wedding was a splendid occasion<br><br>resplendent suggests a glowing or blazing splendor<br>resplendent in her jewelry<br><br>gorgeous implies a rich splendor especially in display of color<br>a gorgeous red dress<br><br>glorious suggests radiance that heightens beauty or distinction<br>a glorious sunset<br><br>sublime implies an exaltation or elevation almost beyond human comprehension<br>a vision of sublime beauty<br><br>superb suggests an excellence reaching the highest conceivable degree<br>her singing was superb"
250,Subterfuge,"deception by artifice or stratagem in order to conceal, escape, or evade",a deceptive device or stratagem,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"artifice, chicane, chicanery, gamesmanship, hanky-panky, jiggery-pokery, jugglery, legerdemain, skulduggery 
 (or skullduggery), trickery, wile","artifice, chicane, chicanery, gamesmanship, hanky-panky, jiggery-pokery, jugglery, legerdemain, skulduggery 
 (or skullduggery), trickery, wile","deception, fraud, double-dealing, subterfuge, trickery mean the acts or practices of one who deliberately deceives

deception may or may not imply blameworthiness, since it may suggest cheating or merely tactical resource
magicians are masters of deception

fraud always implies guilt and often criminality in act or practice
indicted for fraud

double-dealing suggests treachery or at least action contrary to a professed attitude
a go-between suspected of double-dealing

subterfuge suggests the adoption of a stratagem or the telling of a lie in order to escape guilt or to gain an end
obtained the papers by subterfuge

trickery implies ingenious acts intended to dupe or cheat
resorted to trickery to gain their ends",first,"deception, fraud, double-dealing, subterfuge, trickery mean the acts or practices of one who deliberately deceives<br><br>deception may or may not imply blameworthiness, since it may suggest cheating or merely tactical resource<br>magicians are masters of deception<br><br>fraud always implies guilt and often criminality in act or practice<br>indicted for fraud<br><br>double-dealing suggests treachery or at least action contrary to a professed attitude<br>a go-between suspected of double-dealing<br><br>subterfuge suggests the adoption of a stratagem or the telling of a lie in order to escape guilt or to gain an end<br>obtained the papers by subterfuge<br><br>trickery implies ingenious acts intended to dupe or cheat<br>resorted to trickery to gain their ends"
251,Sullen,dull or somber in sound or color,gloomily or resentfully silent or repressed,"dismal, gloomy",moving sluggishly,not sociable,"black, bleak, cheerless, chill, Cimmerian, cloudy, cold, comfortless, dark, darkening, depressing, depressive, desolate, dire, disconsolate, dismal, drear, dreary, dreich 
[chiefly Scottish], elegiac 
 (also elegiacal), forlorn, funereal, gloomy, glum, godforsaken, gray 
 (also grey), lonely, lonesome, lugubrious, miserable, morbid, morose, murky, plutonian, saturnine, sepulchral, solemn, somber 
 (or sombre), sunless, tenebrific, tenebrous, wretched","bright, cheerful, cheering, cheery, comforting, cordial, festive, friendly, gay, heartwarming, sunshiny","sullen, glum, morose, surly, sulky, crabbed, saturnine, gloomy mean showing a forbidding or disagreeable mood

sullen implies a silent ill humor and a refusal to be sociable
remained sullen amid the festivities

glum suggests a silent dispiritedness
a glum candidate left to ponder a stunning defeat

morose adds to glum an element of bitterness or misanthropy
morose job seekers who are inured to rejection

surly implies gruffness and sullenness of speech or manner
a typical surly teenager

sulky suggests childish resentment expressed in peevish sullenness
grew sulky after every spat

crabbed applies to a forbidding morose harshness of manner
the school's notoriously crabbed headmaster

saturnine describes a heavy forbidding aspect or suggests a bitter disposition
a saturnine cynic always finding fault

gloomy implies a depression in mood making for seeming sullenness or glumness
a gloomy mood ushered in by bad news",first,"sullen, glum, morose, surly, sulky, crabbed, saturnine, gloomy mean showing a forbidding or disagreeable mood<br><br>sullen implies a silent ill humor and a refusal to be sociable<br>remained sullen amid the festivities<br><br>glum suggests a silent dispiritedness<br>a glum candidate left to ponder a stunning defeat<br><br>morose adds to glum an element of bitterness or misanthropy<br>morose job seekers who are inured to rejection<br><br>surly implies gruffness and sullenness of speech or manner<br>a typical surly teenager<br><br>sulky suggests childish resentment expressed in peevish sullenness<br>grew sulky after every spat<br><br>crabbed applies to a forbidding morose harshness of manner<br>the school's notoriously crabbed headmaster<br><br>saturnine describes a heavy forbidding aspect or suggests a bitter disposition<br>a saturnine cynic always finding fault<br><br>gloomy implies a depression in mood making for seeming sullenness or glumness<br>a gloomy mood ushered in by bad news"
252,Sumptuous,"extremely costly, rich, luxurious, or magnificent","very expensive, rich, or impressive",very expensive or luxurious,Oops! So Empty!,Oops! So Empty!,"Babylonian, deluxe, lavish, Lucullan 
 (also Lucullian), luxe, luxuriant, luxurious, luxury, opulent, palace, palatial, plush, plushy, silken","ascetic 
 (also ascetical), austere, humble, no-frills, spartan",Oops! So Empty!,third,Oops! So Empty!
253,Supple,compliant often to the point of obsequiousness,"capable of being bent or folded without creases, cracks, or breaks",to make pacific or complaisant,to alleviate with a salve,to make flexible or pliant,"bendy 
[chiefly British], flexible, limber, lissome 
 (also lissom), lithe, lithesome, pliable, pliant, willowy","inflexible, rigid, stiff, stiffened","elastic, resilient, springy, flexible, supple mean able to endure strain without being permanently injured

elastic implies the property of resisting deformation by stretching
an elastic waistband

resilient implies the ability to recover shape quickly when the deforming force or pressure is removed
a resilient innersole

springy stresses both the ease with which something yields to pressure and the quickness of its return to original shape
the cake is done when the top is springy

flexible applies to something which may or may not be resilient or elastic but which can be bent or folded without breaking
flexible plastic tubing

supple applies to something that can be readily bent, twisted, or folded without any sign of injury
supple leather",first,"elastic, resilient, springy, flexible, supple mean able to endure strain without being permanently injured<br><br>elastic implies the property of resisting deformation by stretching<br>an elastic waistband<br><br>resilient implies the ability to recover shape quickly when the deforming force or pressure is removed<br>a resilient innersole<br><br>springy stresses both the ease with which something yields to pressure and the quickness of its return to original shape<br>the cake is done when the top is springy<br><br>flexible applies to something which may or may not be resilient or elastic but which can be bent or folded without breaking<br>flexible plastic tubing<br><br>supple applies to something that can be readily bent, twisted, or folded without any sign of injury<br>supple leather"
254,Swaggers,to conduct oneself in an arrogant or superciliously pompous manner,an arrogantly self-confident way of walking,bold or brash self-confidence,"boast, brag",Oops! So Empty!,"blow, boast, brag, bull 
[slang], crow, gasconade, vapor, vaunt","blow, boast, brag, bull 
[slang], crow, gasconade, vapor, vaunt",Oops! So Empty!,third,Oops! So Empty!
255,Tantrum,a fit of bad temper,an uncontrolled expression of childish anger,an outburst of bad temper,a fit of bad temper,Oops! So Empty!,"blowup, explosion, fireworks, fit, hissy 
[chiefly Southern & southern Midland], hissy fit, huff, scene","blowup, explosion, fireworks, fit, hissy 
[chiefly Southern & southern Midland], hissy fit, huff, scene",Oops! So Empty!,first,Oops! So Empty!
256,Tarot,any of a set of usually 78 playing cards including 22 pictorial cards used for fortune-telling,a set of 78 cards with pictures and symbols that is used to see what will happen in the future,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
257,Tenuous,having little substance or strength,not thick,not dense,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"thin, slender, slim, slight, tenuous mean not thick, broad, abundant, or dense

thin implies comparatively little extension between surfaces or in diameter, or it may imply lack of substance, richness, or abundance
thin wire

a thin soup
slender implies leanness or spareness often with grace and good proportion

the slender legs of a Sheraton chair
slim applies to slenderness that suggests fragility or scantiness

a slim volume of poetry
a slim chance

slight implies smallness as well as thinness
a slight build

tenuous implies extreme thinness, sheerness, or lack of substance and firmness
a tenuous thread",first,"thin, slender, slim, slight, tenuous mean not thick, broad, abundant, or dense<br><br>thin implies comparatively little extension between surfaces or in diameter, or it may imply lack of substance, richness, or abundance<br>thin wire<br><br>a thin soup<br>slender implies leanness or spareness often with grace and good proportion<br><br>the slender legs of a Sheraton chair<br>slim applies to slenderness that suggests fragility or scantiness<br><br>a slim volume of poetry<br>a slim chance<br><br>slight implies smallness as well as thinness<br>a slight build<br><br>tenuous implies extreme thinness, sheerness, or lack of substance and firmness<br>a tenuous thread"
258,Thaumaturge,thaumaturgist,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
259,Thrall,a state of servitude or submission,an enslaved person who performs the duties of a servant,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bondman 
 (also bondsman), chattel, slave",freeman,Oops! So Empty!,third,Oops! So Empty!
260,Tirade,"a protracted speech usually marked by intemperate, vituperative, or harshly censorious language",a long and angry speech,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"diatribe, harangue, jeremiad, philippic, rant","diatribe, harangue, jeremiad, philippic, rant",Oops! So Empty!,third,Oops! So Empty!
261,Titter,"to laugh in a nervous, affected, or partly suppressed manner",a quiet or nervous laugh,to laugh in a quiet and nervous way,to laugh in a quiet and nervous way,a nervous laugh,"break up, cackle, chortle, chuckle, crack up, giggle, hee-haw, laugh, roar, scream, snicker, twitter","break up, cackle, chortle, chuckle, crack up, giggle, hee-haw, laugh, roar, scream, snicker, twitter",Oops! So Empty!,third,Oops! So Empty!
262,Tousled,a tangled mass (as of hair),rough dalliance,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"confuse, derange, disarrange, disarray, discompose, dishevel, disjoint, dislocate, disorder, disorganize, disrupt, disturb, hash, jumble, mess (up), mix (up), muddle, muss, rumple, scramble, shuffle, tumble, upset","arrange, array, dispose, draw up, marshal 
 (also marshall), order, organize, range, regulate, straighten (up), tidy",Oops! So Empty!,first,Oops! So Empty!
